iter	Logloss
0	0.6622202465
1	0.6333120731
2	0.6094456232
3	0.5891990341
4	0.5702972749
5	0.5541807836
6	0.5397517657
7	0.5259297684
8	0.5138600836
9	0.5046175034
10	0.4956820965
11	0.4877327046
12	0.4814416602
13	0.476169442
14	0.4700117552
15	0.4650763978
16	0.460934446
17	0.4571988236
18	0.4539482039
19	0.4511391145
20	0.4477353338
21	0.444840135
22	0.4419162352
23	0.4394200641
24	0.4373076084
25	0.4351793557
26	0.4330188857
27	0.4313805845
28	0.4296764787
29	0.4285636481
30	0.4271086656
31	0.4258667628
32	0.4246027238
33	0.4235949486
34	0.422707464
35	0.4214503724
36	0.4205760805
37	0.4197175841
38	0.4188693788
39	0.4178715905
40	0.4168457777
41	0.4160963998
42	0.4151493286
43	0.4144841053
44	0.4139672551
45	0.4132007901
46	0.4125050502
47	0.4120335076
48	0.411464751
49	0.4109131825
50	0.4105921495
51	0.4100841293
52	0.4096329049
53	0.4091441952
54	0.4087502749
55	0.4083551244
56	0.4079495572
57	0.4075592848
58	0.4072054995
59	0.4068794105
60	0.4065269391
61	0.4060681838
62	0.4057923564
63	0.4055906119
64	0.4050467287
65	0.4048079232
66	0.4045803279
67	0.4042963284
68	0.4039836909
69	0.4036607067
70	0.4034819399
71	0.4032340817
72	0.4030119255
73	0.4028386846
74	0.402591723
75	0.4021975451
76	0.4019279644
77	0.4015758248
78	0.4013325502
79	0.4010887077
80	0.4006967051
81	0.4003994606
82	0.4002803061
83	0.400036678
84	0.3998905999
85	0.3997700071
86	0.3995414142
87	0.3992560702
88	0.3990903237
89	0.3988938018
90	0.3986742045
91	0.3985185364
92	0.3984644326
93	0.398208419
94	0.3979840499
95	0.3978280549
96	0.3976148941
97	0.3973526711
98	0.3972023872
99	0.3969646842
100	0.3968269869
101	0.3966815147
102	0.3964885853
103	0.3963042609
104	0.3960976572
105	0.3958527337
106	0.3957077723
107	0.3954891418
108	0.3952945954
109	0.3951185811
110	0.3949232634
111	0.3947256155
112	0.3945305281
113	0.3943634145
114	0.3942688259
115	0.3941281025
116	0.3940112223
117	0.3938439901
118	0.3936698809
119	0.3934942028
120	0.3932865801
121	0.3930624291
122	0.3929582449
123	0.3928272777
124	0.3926628666
125	0.3925131188
126	0.3923165533
127	0.392058572
128	0.391910621
129	0.3917845443
130	0.3916656218
131	0.3915861823
132	0.3914954327
133	0.3913028576
134	0.3910291165
135	0.3909270129
136	0.3907147464
137	0.3904881483
138	0.3902818413
139	0.3901019347
140	0.3899989827
141	0.3898716082
142	0.3897659461
143	0.3896733313
144	0.3894551658
145	0.3892969907
146	0.3891024732
147	0.3889019804
148	0.3886943849
149	0.3885894533
150	0.388410697
151	0.3882751574
152	0.3881337192
153	0.3879817828
154	0.3878339125
155	0.3876028136
156	0.3874899215
157	0.3873608278
158	0.3872392062
159	0.3871178434
160	0.3870316315
161	0.3868403262
162	0.386641046
163	0.3864922121
164	0.3862893545
165	0.3862173934
166	0.3859364995
167	0.385758117
168	0.3856017038
169	0.3854178711
170	0.3852389772
171	0.3850870077
172	0.3849440645
173	0.3849069595
174	0.3847723788
175	0.3846426279
176	0.384511669
177	0.3843508193
178	0.3842496867
179	0.3840943619
180	0.3838754689
181	0.3836754947
182	0.3835360713
183	0.3834302008
184	0.3832667679
185	0.3830118729
186	0.3829074361
187	0.3828286354
188	0.3826888963
189	0.3824748751
190	0.3823372974
191	0.3820532184
192	0.3819077843
193	0.3816913209
194	0.3814122323
195	0.3813068621
196	0.3811651441
197	0.3809944699
198	0.3808769767
199	0.3806855966
200	0.3805242461
201	0.38033453
