iter	Passed	Remaining
0	2	2659
1	4	2427
2	6	2322
3	9	2246
4	11	2256
5	13	2286
6	16	2302
7	18	2350
8	21	2373
9	24	2394
10	27	2433
11	29	2468
12	32	2466
13	35	2471
14	37	2481
15	40	2488
16	43	2520
17	46	2525
18	48	2526
19	51	2538
20	54	2538
21	57	2567
22	60	2576
23	63	2572
24	65	2567
25	68	2575
26	73	2641
27	76	2643
28	78	2642
29	81	2640
30	84	2638
31	87	2637
32	90	2638
33	93	2654
34	96	2656
35	98	2646
36	101	2639
37	103	2626
38	106	2620
39	108	2607
40	110	2595
41	113	2582
42	115	2573
43	118	2564
44	120	2559
45	122	2550
46	125	2541
47	127	2534
48	130	2534
49	133	2532
50	135	2524
51	138	2521
52	141	2522
53	143	2518
54	146	2512
55	148	2509
56	151	2506
57	154	2503
58	157	2505
59	159	2502
60	162	2498
61	164	2494
62	167	2488
63	170	2489
64	172	2487
65	175	2483
66	177	2478
67	180	2473
68	182	2468
69	185	2465
70	187	2459
71	190	2455
72	193	2452
73	195	2444
74	197	2440
75	200	2436
76	202	2432
77	205	2426
78	207	2422
79	210	2419
80	212	2416
81	215	2411
82	217	2405
83	220	2400
84	222	2394
85	224	2391
86	227	2388
87	230	2383
88	232	2378
89	234	2373
90	237	2369
91	239	2365
92	241	2356
93	244	2353
94	246	2349
95	249	2346
96	251	2341
97	254	2342
98	257	2340
99	259	2338
100	262	2333
101	264	2329
102	267	2325
103	269	2322
104	272	2320
105	274	2318
106	277	2315
107	280	2317
108	283	2316
109	285	2313
110	288	2311
111	291	2308
112	293	2306
113	296	2303
114	298	2299
115	301	2297
116	304	2294
117	306	2292
118	309	2293
119	312	2290
120	314	2286
121	317	2283
122	319	2280
123	322	2277
124	324	2273
125	327	2271
126	330	2268
127	332	2266
128	335	2262
129	337	2258
130	340	2256
131	342	2254
132	345	2249
133	347	2245
134	350	2243
135	352	2241
136	355	2238
137	357	2235
138	360	2233
139	362	2229
140	365	2224
141	367	2221
142	370	2218
143	372	2214
144	375	2211
145	377	2207
146	379	2203
147	382	2199
148	384	2197
149	387	2194
150	389	2192
151	392	2190
152	394	2185
153	397	2183
154	400	2181
155	403	2181
156	405	2177
157	408	2176
158	410	2171
159	412	2167
160	415	2164
161	417	2161
162	420	2159
163	423	2157
164	425	2155
165	428	2152
166	431	2151
167	433	2148
168	436	2145
169	438	2143
170	441	2139
171	443	2136
172	446	2133
173	448	2130
174	451	2129
175	454	2127
176	456	2123
177	459	2120
178	461	2116
179	463	2112
180	466	2109
181	468	2107
182	471	2104
183	473	2101
184	476	2098
185	478	2096
186	481	2093
187	484	2091
188	486	2089
189	489	2087
190	492	2084
191	494	2081
192	497	2079
193	500	2077
194	502	2075
195	505	2072
196	507	2070
197	510	2067
198	512	2064
199	515	2061
200	518	2059
201	520	2058
